Data Source,World Development Indicators,,,
,,,,
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,1443.879529
Not classified,INX,GDP per capita (current US$),NY.GDP.PCAP.CD,
Ireland,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,48917.89756
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),NY.GDP.PCAP.CD,7927.647542
Iraq,IRQ,GDP per capita (current US$),NY.GDP.PCAP.CD,6836.027313
Iceland,ISL,GDP per capita (current US$),NY.GDP.PCAP.CD,45910.0209
Israel,ISR,GDP per capita (current US$),NY.GDP.PCAP.CD,32543.45515
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,34814.12512
Jamaica,JAM,GDP per capita (current US$),NY.GDP.PCAP.CD,5206.906722
Jordan,JOR,GDP per capita (current US$),NY.GDP.PCAP.CD,3827.294451
Japan,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,48603.47665
Kazakhstan,KAZ,GDP per capita (current US$),NY.GDP.PCAP.CD,12386.7
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1136.871406
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1177.974735
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,950.880346
Kiribati,KIR,GDP per capita (current US$),NY.GDP.PCAP.CD,1788.505421
St. Kitts and Nevis,KNA,GDP per capita (current US$),NY.GDP.PCAP.CD,16044.11613
"Korea, Rep.",KOR,GDP per capita (current US$),NY.GDP.PCAP.CD,24358.78218
Kuwait,KWT,GDP per capita (current US$),NY.GDP.PCAP.CD,51978.99848
Latin America & Caribbean (excluding high income),LAC,GDP per capita (current US$),NY.GDP.PCAP.CD,9815.650853
Lao PDR,LAO,GDP per capita (current US$),NY.GDP.PCAP.CD,1581.395403
Lebanon,LBN,GDP per capita (current US$),NY.GDP.PCAP.CD,7985.854941
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,657.9362563
Libya,LBY,GDP per capita (current US$),NY.GDP.PCAP.CD,13025.28139
St. Lucia,LCA,GDP per capita (current US$),NY.GDP.PCAP.CD,8139.892046
Latin America & Caribbean,LCN,GDP per capita (current US$),NY.GDP.PCAP.CD,10177.56297
Least developed countries: UN classification,LDC,GDP per capita (current US$),NY.GDP.PCAP.CD,940.3088576
Low income,LIC,GDP per capita (current US$),NY.GDP.PCAP.CD,733.2472295
Liechtenstein,LIE,GDP per capita (current US$),NY.GDP.PCAP.CD,149010.2249
Sri Lanka,LKA,GDP per capita (current US$),NY.GDP.PCAP.CD,3350.521876
Lower middle income,LMC,GDP per capita (current US$),NY.GDP.PCAP.CD,1907.161615
Low & middle income,LMY,GDP per capita (current US$),NY.GDP.PCAP.CD,4404.946735
Lesotho,LSO,GDP per capita (current US$),NY.GDP.PCAP.CD,1329.274971
Late-demographic dividend,LTE,GDP per capita (current US$),NY.GDP.PCAP.CD,7976.021738
Lithuania,LTU,GDP per capita (current US$),NY.GDP.PCAP.CD,14341.18163
Luxembourg,LUX,GDP per capita (current US$),NY.GDP.PCAP.CD,106749.0136
Latvia,LVA,GDP per capita (current US$),NY.GDP.PCAP.CD,13822.80559
"Macao SAR, China",MAC,GDP per capita (current US$),NY.GDP.PCAP.CD,76291.84749
St. Martin (French part),MAF,GDP per capita (current US$),NY.GDP.PCAP.CD,
Morocco,MAR,GDP per capita (current US$),NY.GDP.PCAP.CD,2912.658275
Monaco,MCO,GDP per capita (current US$),NY.GDP.PCAP.CD,157515.8991
Moldova,MDA,GDP per capita (current US$),NY.GDP.PCAP.CD,2446.725316
Madagascar,MDG,GDP per capita (current US$),NY.GDP.PCAP.CD,443.9047493
Maldives,MDV,GDP per capita (current US$),NY.GDP.PCAP.CD,7265.613656
Middle East & North Africa,MEA,GDP per capita (current US$),NY.GDP.PCAP.CD,8895.135438
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,10241.72792
Marshall Islands,MHL,GDP per capita (current US$),NY.GDP.PCAP.CD,3265.520038
Middle income,MIC,GDP per capita (current US$),NY.GDP.PCAP.CD,4823.533202
North Macedonia,MKD,GDP per capita (current US$),NY.GDP.PCAP.CD,4698.141294
Mali,MLI,GDP per capita (current US$),NY.GDP.PCAP.CD,778.6694625
Malta,MLT,GDP per capita (current US$),NY.GDP.PCAP.CD,21931.74762
Myanmar,MMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1165.794329
Middle East & North Africa (excluding high income),MNA,GDP per capita (current US$),NY.GDP.PCAP.CD,5010.581884
Montenegro,MNE,GDP per capita (current US$),NY.GDP.PCAP.CD,6586.721279
Mongolia,MNG,GDP per capita (current US$),NY.GDP.PCAP.CD,4351.88692
Northern Mariana Islands,MNP,GDP per capita (current US$),NY.GDP.PCAP.CD,13827.7697
Mozambique,MOZ,GDP per capita (current US$),NY.GDP.PCAP.CD,613.984066
Mauritania,MRT,GDP per capita (current US$),NY.GDP.PCAP.CD,1411.35283
Mauritius,MUS,GDP per capita (current US$),NY.GDP.PCAP.CD,9291.227619
Malawi,MWI,GDP per capita (current US$),NY.GDP.PCAP.CD,391.5618324
Malaysia,MYS,GDP per capita (current US$),NY.GDP.PCAP.CD,10817.44287
North America,NAC,GDP per capita (current US$),NY.GDP.PCAP.CD,51703.26734
Namibia,NAM,GDP per capita (current US$),NY.GDP.PCAP.CD,5930.548473
New Caledonia,NCL,GDP per capita (current US$),NY.GDP.PCAP.CD,
Niger,NER,GDP per capita (current US$),NY.GDP.PCAP.CD,390.1199097
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,2746.991789
Nicaragua,NIC,GDP per capita (current US$),NY.GDP.PCAP.CD,1760.46057
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,50073.00566
Norway,NOR,GDP per capita (current US$),NY.GDP.PCAP.CD,101668.1707
Nepal,NPL,GDP per capita (current US$),NY.GDP.PCAP.CD,698.4664794
Nauru,NRU,GDP per capita (current US$),NY.GDP.PCAP.CD,10101.90017
New Zealand,NZL,GDP per capita (current US$),NY.GDP.PCAP.CD,39970.44004
OECD members,OED,GDP per capita (current US$),NY.GDP.PCAP.CD,38185.74765
Oman,OMN,GDP per capita (current US$),NY.GDP.PCAP.CD,21923.54802
Other small states,OSS,GDP per capita (current US$),NY.GDP.PCAP.CD,15464.65142
Pakistan,PAK,GDP per capita (current US$),NY.GDP.PCAP.CD,1198.109001
Panama,PAN,GDP per capita (current US$),NY.GDP.PCAP.CD,10722.28363
Peru,PER,GDP per capita (current US$),NY.GDP.PCAP.CD,6528.972218
Philippines,PHL,GDP per capita (current US$),NY.GDP.PCAP.CD,2572.629425
Palau,PLW,GDP per capita (current US$),NY.GDP.PCAP.CD,12168.28231
Papua New Guinea,PNG,GDP per capita (current US$),NY.GDP.PCAP.CD,2790.699587
Poland,POL,GDP per capita (current US$),NY.GDP.PCAP.CD,13145.53926
Pre-demographic dividend,PRE,GDP per capita (current US$),NY.GDP.PCAP.CD,1684.116329
Puerto Rico,PRI,GDP per capita (current US$),NY.GDP.PCAP.CD,27944.73389
"Korea, Dem. People’s Rep.",PRK,GDP per capita (current US$),NY.GDP.PCAP.CD,
Portugal,PRT,GDP per capita (current US$),NY.GDP.PCAP.CD,20577.40264
Paraguay,PRY,GDP per capita (current US$),NY.GDP.PCAP.CD,5183.082877
West Bank and Gaza,PSE,GDP per capita (current US$),NY.GDP.PCAP.CD,2834.021525
Pacific island small states,PSS,GDP per capita (current US$),NY.GDP.PCAP.CD,3591.851379
Post-demographic dividend,PST,GDP per capita (current US$),NY.GDP.PCAP.CD,42071.30827
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,
Qatar,QAT,GDP per capita (current US$),NY.GDP.PCAP.CD,85076.14793
Romania,ROU,GDP per capita (current US$),NY.GDP.PCAP.CD,8535.046876
Russian Federation,RUS,GDP per capita (current US$),NY.GDP.PCAP.CD,15434.57478
Rwanda,RWA,GDP per capita (current US$),NY.GDP.PCAP.CD,695.2740829
South Asia,SAS,GDP per capita (current US$),NY.GDP.PCAP.CD,1364.441602
Saudi Arabia,SAU,GDP per capita (current US$),NY.GDP.PCAP.CD,25243.3587
Sudan,SDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1882.24677
Senegal,SEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1330.057448
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,55546.48854
Solomon Islands,SLB,GDP per capita (current US$),NY.GDP.PCAP.CD,1913.232022
Sierra Leone,SLE,GDP per capita (current US$),NY.GDP.PCAP.CD,566.3786569
El Salvador,SLV,GDP per capita (current US$),NY.GDP.PCAP.CD,3428.410386
San Marino,SMR,GDP per capita (current US$),NY.GDP.PCAP.CD,56068.43455
Somalia,SOM,GDP per capita (current US$),NY.GDP.PCAP.CD,
Serbia,SRB,GDP per capita (current US$),NY.GDP.PCAP.CD,6015.945228
Sub-Saharan Africa (excluding high income),SSA,GDP per capita (current US$),NY.GDP.PCAP.CD,1781.425063
South Sudan,SSD,GDP per capita (current US$),NY.GDP.PCAP.CD,1025.229925
Sub-Saharan Africa,SSF,GDP per capita (current US$),NY.GDP.PCAP.CD,1782.408543
Small states,SST,GDP per capita (current US$),NY.GDP.PCAP.CD,13672.58756
Sao Tome and Principe,STP,GDP per capita (current US$),NY.GDP.PCAP.CD,1340.526507
Suriname,SUR,GDP per capita (current US$),NY.GDP.PCAP.CD,9201.008785
Slovak Republic,SVK,GDP per capita (current US$),NY.GDP.PCAP.CD,17274.6423
Slovenia,SVN,GDP per capita (current US$),NY.GDP.PCAP.CD,22532.43564
Sweden,SWE,GDP per capita (current US$),NY.GDP.PCAP.CD,57197.19931
Eswatini,SWZ,GDP per capita (current US$),NY.GDP.PCAP.CD,4469.457324
Sint Maarten (Dutch part),SXM,GDP per capita (current US$),NY.GDP.PCAP.CD,
Seychelles,SYC,GDP per capita (current US$),NY.GDP.PCAP.CD,12006.68296
Syrian Arab Republic,SYR,GDP per capita (current US$),NY.GDP.PCAP.CD,
Turks and Caicos Islands,TCA,GDP per capita (current US$),NY.GDP.PCAP.CD,21009.88581
Chad,TCD,GDP per capita (current US$),NY.GDP.PCAP.CD,967.408126
East Asia & Pacific (IDA & IBRD countries),TEA,GDP per capita (current US$),NY.GDP.PCAP.CD,5432.980876
