Country,Happiness Rank,Happiness Score,Life Ladder,GDP Per Capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of Corruption,Confidence in national government,Healthcare Expenses(% of GDP),Population(100 Million),Investment,Political Rights,Civil Liberties,Life Expectancy,Beer Servings,Shots of Liquor,Wine Servings,Total Alcohol Consumption,Continent,Economic Freedom Score,Legal System Integrity,Inflation,Regulation,Defence Spending
Mexico,14.0,7.187,7.320185184,9.704709053,0.767279446,66.86000061,0.7877683040000001,-0.095760457,0.633281112,0.3614088,5.66298734,1.25890949,33.181269654,3.0,3.0,76.92068293,238.0,68.0,5.0,5.5,North America,6.71,2.5,9.177999999999999,7.205626747,6978776719.0
Moldova,52.0,5.888999999999999,5.995712757000001,8.330985069,0.826219797,61.93999863,0.602418542,-0.002011025,0.955484569,0.21462217,10.92677155,0.03554108,0.23441,3.0,3.0,71.62643902,109.0,226.0,18.0,6.3,Europe,6.64,7.5,9.072000000000001,7.041541900000001,23870072.82
Mongolia,100.0,4.874,4.885150433,9.188996315,0.9185160990000001,60.79999924,0.688311696,0.09400819199999999,0.9323859809999999,0.310268313,3.5167032,0.02976877,0.09431976747,1.0,2.0,69.82126829,77.0,189.0,8.0,4.9,Asia,7.02,6.666666667,7.004,7.303741900000001,113622769.9
Morocco,92.0,5.013,4.969656467,8.823402405,0.67582494,64.09999847,0.756784618,-0.197672457,0.8449347620000001,0.525867641,5.74942274,0.34803322,3.252913902,5.0,4.0,74.28931707,12.0,6.0,10.0,0.5,Africa,6.34,7.5,9.744,6.050246494,3402700836.0
Netherlands,7.0,7.377999999999999,7.470715522999999,10.72351742,0.9388846759999999,71.63999939,0.8771186470000001,0.28282368199999997,0.433753788,0.574513912,10.90368046,0.16939923,130.0,1.0,1.0,81.70731707,251.0,88.0,190.0,9.4,Europe,7.54,10.0,9.51,7.974280135,10364720787.0
New Zealand,9.0,7.2860000000000005,7.249629973999999,10.41539097,0.9300286170000001,72.23999786,0.901853085,0.28298702800000003,0.28929793800000003,0.61469996,9.65239065,0.045957,-0.1351708387,1.0,1.0,81.45682927,203.0,79.0,175.0,9.3,Oceania,8.47,9.166666667000001,9.824,9.106324234,2094946041.0
Nicaragua,57.0,5.827999999999999,5.448006153,8.401390076,0.894054413,65.94000244,0.8503049020000001,0.018677294,0.643578768,0.5733956689999999,7.46630116,0.06082035,0.9499,4.0,3.0,75.09812195,78.0,118.0,1.0,3.5,North America,7.36,5.833333333,8.562000000000001,7.249531923999999,70132969.8
Niger,144.0,3.845,3.798088312,6.760259627999999,0.700107574,50.43999863,0.7344309090000001,-0.050190695,0.7773408890000001,0.534528375,5.84271168,0.19896965,0.5249792882,3.0,4.0,61.96902439,3.0,2.0,1.0,0.1,Africa,5.55,3.333333333,9.908,6.264050172,148865779.9
Nigeria,78.0,5.268,5.492954254,8.582878113,0.817579567,47.11999893,0.651688874,0.05498847,0.900431395,0.30356168699999997,3.33284386,1.81181744,3.128591679,4.0,5.0,53.04887805,42.0,5.0,2.0,9.1,Africa,6.22,3.333333333,7.556,6.973157924,2316478200.0
Norway,4.0,7.522,7.678277016,11.05094433,0.9476574059999999,72.23999786,0.9465658659999999,0.128627837,0.36804267799999996,0.663340509,8.76544424,0.05188607,5.669105409,1.0,1.0,82.1,169.0,71.0,129.0,6.7,Europe,7.58,10.0,9.857999999999999,7.4483813770000005,7143962183.0
